,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
143,Catuday,PH,16.29,119.81,78.64,78,70,11.74
144,Bubaque,GW,11.28,-15.83,80.51,68,39,10.2
145,Nantucket,US,41.28,-70.1,41.04,87,90,8.05
146,Kanye,BW,-24.98,25.34,73.0,54,100,6.78
147,Georgetown,GY,6.8,-58.16,79.86,88,20,4.7
148,Chokurdakh,RU,70.62,147.9,-17.77,98,100,6.53
149,Lixourion,GR,38.2,20.43,64.22,64,32,7.43
150,Vaini,IN,15.34,74.49,64.85,79,10,7.34
151,Mahebourg,MU,-20.41,57.7,77.61,88,40,4.7
152,Trairi,BR,-3.28,-39.27,80.83,63,83,5.5
153,Gondanglegi,ID,-7.75,112.01,74.19,91,99,3.31
154,Isangel,VU,-19.55,169.27,82.4,88,90,6.93
155,Niort,FR,46.32,-0.46,47.1,93,100,6.93
156,Mozarlandia,BR,-14.74,-50.57,87.94,55,83,2.06
157,Thinadhoo,MV,0.53,72.93,82.22,75,100,6.85
158,Praia da Vitoria,PT,38.73,-27.07,62.26,82,40,42.19
159,Curumani,CO,9.2,-73.54,83.5,59,91,2.06
160,Sitka,US,37.17,-99.65,43.0,33,0,8.01
161,Letlhakane,BW,-21.42,25.59,77.43,49,70,8.81
162,Port Hardy,CA,50.7,-127.42,44.6,93,90,3.42
163,Arraial do Cabo,BR,-22.97,-42.02,80.31,83,20,11.41
164,Saskylakh,RU,71.97,114.09,-14.04,97,100,6.62
165,Dzhebariki-Khaya,RU,62.22,135.8,-28.07,98,100,1.19
166,Lakes Entrance,AU,-37.88,147.99,73.56,49,0,3.0
167,Cap Malheureux,MU,-19.98,57.61,77.5,88,40,4.7
168,Sasina,BA,44.8,16.74,41.0,93,36,2.24
169,Nelson Bay,AU,-32.72,152.14,72.12,64,1,6.93
170,Saldanha,PT,41.42,-6.55,38.16,83,93,4.54
171,Shenjiamen,CN,29.96,122.3,55.42,83,100,21.59
172,Shimoda,JP,34.7,138.93,52.97,82,0,28.7
173,Grand Gaube,MU,-20.01,57.66,77.5,88,40,4.7
174,Vila Velha,BR,-3.71,-38.6,81.61,74,100,9.17
175,Victoria,BN,5.28,115.24,77.0,94,75,2.24
176,Yellowknife,CA,62.45,-114.38,-30.42,73,20,8.05
177,Puerto Ayora,EC,-0.74,-90.35,76.23,65,40,8.05
178,Provideniya,RU,64.42,-173.23,26.6,68,98,8.95
179,Tamandare,BR,-8.28,-70.75,89.65,51,51,2.64
180,Newport,GB,51.59,-3.0,36.37,100,75,4.7
181,Cururupu,BR,-1.82,-44.87,78.53,81,100,3.87
182,Sompeta,IN,18.93,84.6,65.91,84,94,2.53
183,Ilulissat,GL,69.22,-51.1,23.0,41,40,12.75
184,Saint-Philippe,CA,45.36,-73.48,26.49,92,90,6.93
185,Rawlins,US,41.79,-107.24,22.19,48,1,14.99
186,Bereda,ES,43.27,-7.54,48.02,76,20,14.99
187,Kandi,BJ,11.13,2.93,77.2,18,61,3.31
188,Ardakan,IR,32.31,54.02,44.6,93,75,6.93
189,Posadas,PY,-27.37,-55.89,83.07,42,0,6.93
190,Chuy,UY,-33.69,-53.46,66.22,82,34,11.48
191,Te Anau,NZ,-45.41,167.72,46.45,74,30,1.97
192,Yingkou,CN,40.67,122.24,23.29,53,0,19.71
193,San Jose,HN,14.25,-87.96,74.75,68,54,5.01
194,Cidreira,BR,-30.17,-50.22,70.63,74,100,11.18
195,Otradnoye,RU,59.77,30.8,37.81,93,75,4.47
196,Faya,SA,18.39,42.45,56.32,71,100,4.7
197,Brokopondo,SR,5.06,-54.98,78.93,83,40,6.93
198,Ust-Nera,RU,64.57,143.24,-40.61,99,51,1.77
199,Mto wa Mbu,TZ,-3.38,35.86,72.48,73,100,5.5
200,Strezhevoy,RU,60.73,77.6,8.6,84,0,6.71
201,Wasserburg,AT,48.25,15.7,37.44,100,75,3.36
202,Guerrero Negro,MX,27.97,-114.04,66.52,25,0,2.95
203,Chillan,CL,-36.61,-72.1,82.4,28,31,12.75
204,Paranaiba,BR,-19.68,-51.19,76.98,81,100,3.47
205,Tocache,PE,-8.19,-76.51,76.66,81,100,2.01
206,Natal,BR,-5.81,-35.21,80.6,74,20,14.99
207,Warner Robins,US,32.62,-83.6,51.84,100,90,13.87
208,Mgandu,TZ,-5.96,34.11,61.14,97,68,3.69
209,Buin,CL,-33.73,-70.74,85.93,18,20,8.05
210,Idlib,SY,35.93,36.64,42.8,100,11,2.28
211,Cachoeirinha,BR,-29.95,-51.09,70.14,57,20,14.99
212,San Pedro Carcha,GT,15.48,-90.31,69.57,81,80,2.13
213,Bintulu,MY,3.17,113.03,74.14,97,100,1.57
214,Banda Aceh,ID,5.56,95.32,73.54,89,100,4.83
215,Pakala,GM,13.62,-15.52,80.24,10,6,7.25
216,Talnakh,RU,69.49,88.39,3.2,84,75,15.66
217,Kolokani,ML,13.58,-8.03,76.98,11,52,6.73
218,Pasighat,IN,28.06,95.33,55.26,78,18,1.83
219,Lufilufi,WS,-13.87,-171.6,78.01,94,100,4.0
220,Voznesenye,RU,61.02,35.48,36.1,92,100,10.76
221,Marzuq,YE,14.4,46.47,59.2,82,0,3.49
222,Gubkinskiy,RU,64.43,76.5,3.25,93,97,8.46
223,Weihe,CN,32.99,105.33,30.22,53,100,6.93
224,Honiara,SB,-9.43,159.96,84.2,83,40,1.5
225,Srednekolymsk,RU,67.46,153.71,-20.65,97,87,7.27
226,Valdivia,CL,-39.81,-73.25,66.2,72,75,8.05
227,Hammerfest,NO,70.66,23.68,30.15,79,75,3.36
228,Geraldton,CA,49.72,-86.95,-4.0,64,75,8.05
229,Hervey Bay,AU,-25.3,152.85,78.8,50,75,17.22
230,Umm Lajj,SA,25.02,37.27,62.51,34,0,16.08
231,Fort Saint James,CA,54.43,-124.25,34.7,86,100,9.8
232,Port Elizabeth,US,39.31,-74.98,39.51,93,90,12.75
233,Coos Bay,US,43.37,-124.22,46.87,81,1,5.82
234,Dinguiraye,GN,11.29,-10.71,76.03,17,97,0.76
235,Fukue,JP,35.03,136.69,53.96,93,75,3.36
236,Marabba,SD,12.35,32.18,70.75,19,30,12.3
237,Suntar,RU,62.16,117.65,-20.38,96,100,4.94
238,Lorengau,PG,-2.02,147.27,83.84,73,0,7.65
239,Bauchi,NG,10.31,9.85,71.74,29,47,4.99
240,Norman Wells,CA,65.28,-126.83,-38.2,72,20,3.36
241,East London,ZA,-33.02,27.91,77.09,64,72,24.4
242,Atar,MR,20.52,-13.05,62.4,34,23,12.71
243,Potosi,BO,-19.59,-65.75,50.52,82,100,12.33
244,Shakiso,ET,5.77,38.9,60.98,78,59,1.86
245,Banjar,ID,-7.37,108.54,74.17,93,100,0.29
246,Tezu,IN,27.93,96.16,52.3,81,11,3.09
247,Black River,JM,18.03,-77.85,81.66,70,20,16.11
248,Loandjili,CG,-4.77,11.87,78.8,94,40,4.7
249,Bambous Virieux,MU,-20.34,57.76,77.58,88,40,4.7
250,Vestmannaeyjar,IS,63.44,-20.27,33.75,67,42,20.22
251,Bagdarin,RU,54.44,113.59,-12.33,86,100,4.65
252,Sobolevo,RU,54.43,31.9,37.58,97,100,6.24
253,Lumphat,KH,13.5,106.97,71.1,79,34,6.71
254,Mantua,IT,45.16,10.79,48.92,87,40,3.36
255,Dali,CN,34.79,109.94,34.66,42,98,2.51
256,Cabo San Lucas,MX,22.89,-109.91,74.7,69,40,4.7
257,Gimli,CA,50.63,-96.99,-9.0,74,21,5.21
258,Sinnamary,GF,5.38,-52.96,79.9,83,96,19.93
259,Iqaluit,CA,63.75,-68.52,28.4,58,75,11.41
260,Henties Bay,NA,-22.12,14.28,63.0,90,1,3.0
261,Lexington,US,38.05,-84.5,34.12,76,1,3.36
262,Tianpeng,CN,28.88,112.34,46.99,50,99,12.68
263,Casper,US,42.87,-106.31,28.9,53,1,28.86
264,Baykit,RU,61.68,96.39,-12.96,96,94,1.48
265,Price,US,39.6,-110.81,31.68,33,1,6.93
266,Alihe,CN,50.57,123.73,-13.86,89,0,3.4
267,Shambu,ET,9.57,37.1,55.08,88,35,2.68
268,Kodiak,US,39.95,-94.76,31.03,68,1,5.82
269,Hofn,IS,64.25,-15.21,38.53,65,94,24.65
270,Valparaiso,US,41.47,-87.06,26.73,58,40,13.87
271,Yumen,CN,40.29,97.04,18.25,86,26,8.75
272,Auki,NG,12.18,6.51,71.67,21,24,10.6
273,Sorong,ID,-0.86,131.25,81.09,86,83,0.94
274,Salalah,OM,17.01,54.1,77.0,69,40,4.7
275,Yakeshi,CN,49.28,120.73,-18.71,100,90,3.44
276,Onguday,RU,50.75,86.14,-0.96,91,24,1.43
277,Ambilobe,MG,-13.19,49.05,74.28,89,100,2.17
278,Mehamn,NO,71.03,27.85,30.24,80,92,3.36
279,Les Cayes,HT,18.19,-73.75,82.4,74,0,21.05
280,Boende,CD,-0.28,20.88,73.67,85,82,1.3
281,Paraiso,BR,-0.03,-51.17,84.2,79,90,11.41
282,Nome,US,30.04,-94.42,49.68,57,1,14.99
283,Biltine,TD,14.53,20.93,63.73,26,3,13.53
284,Gizo,IL,31.8,34.94,53.24,76,0,2.24
285,Sumbawanga,TZ,-7.95,31.62,60.8,93,20,2.24
286,Inverness,GB,57.48,-4.23,32.38,92,0,5.82
287,Severo-Kurilsk,RU,50.68,156.12,33.24,99,100,18.12
288,Benguela,AO,-12.58,13.4,77.45,85,100,5.88
289,Vallenar,CL,-28.58,-70.76,58.93,80,0,5.1
290,Progreso,UY,-34.68,-56.22,68.4,64,0,17.22
291,Paamiut,GL,61.99,-49.67,30.31,46,18,15.5
292,Qaanaaq,GL,77.48,-69.36,-4.02,46,52,5.19
293,Anadyr,RU,64.73,177.51,5.0,92,75,2.24
294,Barcelos,BR,-0.97,-62.93,85.37,70,100,1.95
295,Rafaela,AR,-31.25,-61.49,91.92,30,0,1.99
296,Touros,BR,-5.2,-35.46,80.6,74,40,11.41
297,Outlook,CA,51.48,-107.04,19.99,79,75,9.93
298,Egvekinot,RU,66.32,-179.17,6.35,94,100,11.27
299,San Miguel,AR,-34.54,-58.72,75.99,69,37,14.99
300,Aguadilla,PR,18.43,-67.15,78.69,82,90,6.93
301,Luba,PH,17.32,120.7,70.59,66,0,4.81
302,Brandfort,ZA,-28.7,26.46,75.2,38,33,16.11
303,Mogadishu,SO,2.04,45.34,80.78,75,56,23.85
304,Zalantun,CN,48.0,122.72,-3.01,81,17,4.25
305,Rocha,UY,-34.48,-54.34,56.68,87,0,5.59
306,Pringsewu,ID,-5.36,104.98,73.02,93,100,1.74
307,Bolanos de Calatrava,ES,38.91,-3.66,45.0,88,50,5.01
308,Rincon,PA,8.46,-82.28,69.96,100,75,11.41
309,Kurumkan,RU,54.33,110.32,-11.22,89,100,1.3
310,Taiyuan,CN,37.86,112.56,21.2,85,100,2.35
311,San Cristobal,HN,14.68,-86.92,68.31,61,16,5.19
312,Udgir,IN,18.39,77.12,64.47,75,26,4.85
313,Yen Bai,VN,21.7,104.87,68.38,93,91,1.41
314,Amarkantak,IN,22.67,81.76,51.08,75,0,4.43
315,Kharan,PK,28.58,65.42,57.16,38,77,3.76
316,Santa Ines,EC,-0.82,-78.63,67.24,55,40,6.93
317,Mackay,CA,53.65,-115.58,24.82,85,90,8.28
318,Flin Flon,CA,54.77,-101.88,-11.2,69,90,5.82
319,Saint Anthony,US,43.97,-111.68,22.87,57,1,6.93
320,Sao Gabriel da Cachoeira,BR,-0.13,-67.09,75.9,90,72,0.29
321,Uporovo,RU,56.31,66.27,12.96,92,100,9.33
322,The Pas,CA,53.82,-101.24,-11.2,69,1,10.29
323,Hamilton,CA,43.26,-79.87,31.06,74,75,10.29
324,Bellevue,DE,50.05,10.19,42.37,81,40,3.74
325,Prince George,CA,53.92,-122.75,35.47,85,90,25.28
326,La Ronge,CA,55.1,-105.3,5.0,71,90,11.41
327,Tczew,PL,54.09,18.8,42.69,81,100,8.05
328,Coihaique,CL,-45.58,-72.07,60.8,77,75,4.7
329,Srivardhan,IN,18.03,73.02,73.98,59,25,5.53
330,Mikhaylovka,RU,52.96,103.29,7.54,95,100,7.02
331,Bandar-e Lengeh,IR,26.56,54.88,69.8,94,40,11.41
332,Kaihua,CN,29.14,118.41,52.21,82,100,0.47
333,Vao,EE,59.1,26.19,36.75,97,100,3.76
334,Ouro Branco,BR,-20.52,-43.69,63.59,97,86,2.59
335,Wenzhou,CN,28.02,120.66,56.34,83,100,3.98
336,Tabuk,PH,17.41,121.44,71.76,80,2,1.61
337,Sabzevar,IR,36.21,57.68,41.94,78,100,8.19
338,Kjollefjord,NO,70.95,27.35,30.18,80,89,3.36
339,Jalu,LY,29.03,21.55,55.06,65,33,11.86
340,Zuwarah,LY,32.93,12.08,64.53,54,0,16.91
341,Kajaani,FI,64.22,27.73,30.2,92,90,9.17
342,Altay,CN,47.83,88.13,0.09,58,33,4.29
343,Matay,EG,28.42,30.79,52.84,76,0,11.21
344,Ucluelet,CA,48.94,-125.55,46.71,93,90,16.11
345,Piranhas,BR,-16.43,-51.82,71.96,86,99,3.27
346,Alofi,NU,-19.06,-169.92,80.6,78,90,11.41
347,Xining,CN,36.62,101.77,11.97,89,89,1.39
348,La Huacana,MX,18.96,-101.8,69.8,60,75,11.41
349,Dingle,PH,11.0,122.67,75.83,91,98,12.53
350,Sadri,IN,25.19,73.45,47.88,40,0,3.65
351,Zhangye,CN,38.94,100.46,20.53,69,14,1.54
352,Pochutla,MX,15.74,-96.47,86.65,58,20,9.17
353,Gweta,BW,-20.21,25.26,76.1,56,41,6.08
354,Kropotkin,RU,45.43,40.58,40.1,88,21,6.89
355,Penzance,GB,50.12,-5.53,41.81,100,50,4.7
356,Maldonado,UY,-34.91,-54.96,66.2,59,20,11.41
357,Chiredzi,ZW,-21.05,31.67,65.75,82,0,2.17
358,Porto Novo,BR,-23.68,-45.44,71.6,88,75,6.93
359,College,US,64.86,-147.8,-1.01,84,75,4.9
360,Tabas,IR,33.6,56.92,50.0,81,85,6.93
361,Monroe,US,41.91,-83.4,30.42,50,40,6.93
362,Ust-Maya,RU,60.42,134.54,-32.82,96,100,2.35
363,Boca do Acre,BR,-8.76,-67.39,79.2,73,42,1.39
364,Nadvoitsy,RU,63.89,34.27,29.25,97,97,5.37
365,Lohja,FI,60.25,24.07,36.28,93,75,3.36
366,Scottsbluff,US,41.87,-103.67,33.39,51,1,13.87
367,Middelkerke,BE,51.19,2.82,44.4,93,100,6.93
368,Banff,CA,51.18,-115.57,41.0,51,95,15.99
369,Broome,GB,52.47,1.45,40.55,93,68,10.29
370,Marsh Harbour,BS,26.54,-77.06,76.44,88,0,12.73
371,Nacala,MZ,-14.56,40.69,73.89,90,72,8.81
372,Totness,US,33.74,-80.8,64.8,100,90,5.82
373,Baghdad,IQ,33.3,44.38,46.4,93,21,5.82
374,Skibbereen,IE,51.55,-9.27,37.4,72,75,8.05
375,Barreirinhas,BR,-2.75,-42.83,75.96,89,100,3.96
376,Halifax,CA,44.65,-63.58,29.73,68,90,3.36
377,Klaksvik,FO,62.23,-6.59,35.6,80,0,1.12
378,Dawson Creek,CA,55.76,-120.23,37.65,72,1,28.86
379,Chemainus,CA,48.92,-123.72,44.91,93,75,9.17
380,Rabo de Peixe,PT,37.8,-25.58,64.4,88,40,31.09
381,Avera,US,33.19,-82.53,61.05,93,90,10.29
382,Pauini,BR,-7.71,-67.0,75.13,95,67,2.48
383,Caloundra,AU,-26.8,153.14,75.72,64,20,9.17
384,Rybnaya Sloboda,RU,55.46,50.14,32.0,98,90,6.71
385,Chumikan,RU,54.72,135.31,-14.28,79,0,14.18
386,Vardo,US,39.62,-77.74,36.91,86,90,11.41
387,Kodinsk,RU,58.6,99.18,-10.17,97,13,2.37
388,Lagoa,PT,37.14,-8.45,54.21,76,20,3.36
389,Ayan,IR,38.23,44.7,19.47,70,22,5.06
390,Beira,ES,43.2,-8.36,50.43,76,20,14.99
391,Osmena,PH,12.17,124.59,80.13,79,100,14.36
392,Ust-Omchug,RU,61.13,149.63,-25.02,95,92,6.02
393,Jabinyanah,TN,35.03,10.91,64.4,72,40,14.99
394,Ginda,IN,30.69,78.49,37.58,28,0,5.26
395,Sete,NP,27.58,86.44,31.42,42,0,2.59
396,Leh,IN,34.16,77.58,0.18,28,72,0.89
397,Santa Rosa,AR,-36.62,-64.29,82.11,20,82,4.85
398,Kuching,MY,1.56,110.34,73.27,98,100,2.28
399,Port Hedland,AU,-20.31,118.58,80.6,61,0,8.05
400,Wahiawa,US,21.5,-158.02,81.48,65,1,20.8
401,Santa Maria,BR,-16.02,-48.01,75.96,57,40,12.75
402,Qaqortoq,GL,60.72,-46.03,39.2,27,75,25.28
403,Vangaindrano,MG,-23.35,47.6,66.83,95,85,5.1
404,Port Macquarie,AU,-31.43,152.91,73.76,53,15,10.29
405,Zatoka,PL,50.04,20.52,39.74,85,0,1.12
406,Beringovskiy,RU,63.05,179.32,11.73,89,78,14.67
407,Moussoro,TD,13.64,16.49,69.89,22,11,14.0
408,Lethem,GY,3.38,-59.8,82.11,66,75,15.3
409,Fort Nelson,CA,58.81,-122.69,5.0,84,90,12.75
410,Kamaishi,JP,39.28,141.86,51.94,83,86,3.0
411,Sambava,MG,-14.27,50.17,72.37,96,95,2.37
412,Dubbo,AU,-32.25,148.6,77.0,25,35,17.22
413,Khairagarh,IN,21.42,80.98,58.96,74,0,2.55
414,Ponta Delgada,PT,37.73,-25.67,64.4,88,40,31.09
415,Padang,ID,-0.92,100.36,68.86,94,63,2.48
416,Najran,SA,17.54,44.22,64.4,68,100,4.7
417,Rovinj,HR,45.08,13.64,58.06,82,75,8.05
418,Yanam,IN,16.73,82.22,71.17,86,83,3.2
419,Ongandjera,NA,-17.88,15.07,75.18,54,85,10.58
420,Lulea,SE,65.58,22.15,19.4,100,11,2.24
421,Poya,NC,-21.35,165.16,75.34,79,0,19.71
422,Great Bend,US,38.36,-98.78,40.87,48,1,6.93
423,Sao Borja,BR,-28.66,-56.0,71.46,57,0,7.4
424,Yaan,NG,7.38,8.57,78.94,22,2,2.1
425,Bolgatanga,GH,10.79,-0.85,78.98,14,57,7.25
426,Abu Kamal,SY,34.45,40.92,51.64,61,0,7.31
427,Kolosovka,RU,56.47,73.61,12.63,91,100,8.41
428,Gat,SN,14.69,-16.54,75.96,77,0,17.22
429,Kisangani,CD,0.52,25.21,71.1,93,72,1.66
430,Mehran,IR,33.12,46.17,41.0,80,40,2.24
431,Palm Coast,US,29.55,-81.22,72.52,69,40,11.41
